Unnamed: 0,date,words,meaning,example,classes,last_changes_of_class,date_becoming,recalling
,2023-01-24,reluctant,hesitating before doing something because you do not want to do it or because you are not sure that it is the right thing to do,He finally gave a reluctant smile.,3,2023-01-28,2222-02-02,0
,2023-01-24,diminish,"to become smaller, weaker, etc.; to make something become smaller, weaker, etc. / to make somebody/something seem less important than they really are",The world's resources are rapidly diminishing. / The trial has aged and diminished him.,1,2023-01-28,2222-02-02,0
,2023-01-24,misery,great physical or mental pain / very poor living conditions,Fame brought her nothing but misery. / The vast majority of the population lives in utter misery,4,2023-01-28,2222-02-02,0
,2023-01-24,complication,a thing that makes a situation more complicated or difficult,The bad weather added a further complication to our journey,5,2024-05-23,2023-01-28,0
,2023-01-24,poll,the process of questioning people who are representative of a larger group in order to get information about the general opinion,to carry out/conduct a poll,4,2023-01-28,2222-02-02,0
,2023-01-24,delicate,easily damaged or broken / light and pleasant; not strong /showing or needing careful or sensitive treatment / made or formed in a very careful and detailed way,delicate china teacups / a river scene painted in delicate watercolours / a delicate problem / the delicate mechanisms of a clock,2,2023-01-28,2222-02-02,0
,2023-01-24,yield,"the total amount of crops, profits, etc. that are produced",a high crop yield,2,2023-01-28,2222-02-02,0
,2023-01-24,justification,a good reason why something exists or is done,I can see no possible justification for any further tax increases.,2,2023-01-28,2222-02-02,0
,2023-01-24,dissolve,to mix with a liquid and become part of it,Salt dissolves in water.,4,2023-01-28,2222-02-02,0
,2023-01-24,stem,"the main long, thin part of a plant above the ground from which the leaves or flowers grow; a smaller part that grows from this and supports flowers or leaves","long, trailing stems of ivy",4,2023-01-28,2222-02-02,0
,2023-01-24,merger,the act of joining two or more organizations or businesses into one,"If the merger goes through, thousands of jobs will be lost",4,2023-01-28,2222-02-02,0
,2023-01-24,distinctive,having a quality or characteristic that makes something different and easily noticed,clothes with a distinctive style,3,2023-01-28,2222-02-02,0
,2023-01-24,compassion,a strong feeling of sympathy for people or animals who are suffering and a desire to help them,to feel/show compassion,4,2023-01-28,2222-02-02,0
,2023-01-24,denounce,"to strongly criticize somebody/something that you think is wrong, illegal, etc.", denounce somebody/something She publicly denounced the government's handling of the crisis.,2,2023-01-28,2222-02-02,0
,2023-01-24,prosperity,"the state of being successful, especially in making money",Our future prosperity depends on economic growth.,2,2023-01-28,2222-02-02,0
,2023-01-24,vibrant,"full of life and energy, very bright and strong",a vibrant city / The room was decorated in vibrant reds and yellows.,3,2023-01-28,2222-02-02,0
,2023-01-24,destructive,causing destruction or damage,The war demonstrated the destructive power of modern weapons,5,2024-05-23,2023-01-28,1
,2023-01-24,soar,"if the value, amount or level of something soars, it rises very quickly",Air pollution will soon soar above safety levels,4,2023-01-28,2222-02-02,0
,2023-01-24,toss,to throw something lightly or carelessly,I tossed the book aside and got up.,4,2023-01-28,2222-02-02,0
,2023-01-24,jurisdiction,the authority that an official organization has to make legal decisions about somebody/something,The English court had no jurisdiction over the defendants.,3,2023-01-28,2222-02-02,0
,2023-01-24,buffer,a thing or person that reduces a shock or protects somebody/something against difficulties,Support from family and friends acts as a buffer against stress.,4,2023-01-28,2222-02-02,0
,2023-01-24,landmark,"an event, a discovery, an invention, etc. that marks an important stage in something",The ceasefire was seen as a major landmark in the fight against terrorism.,3,2023-01-28,2222-02-02,0
,2023-01-24,contempt,the feeling that somebody/something is without value and deserves no respect at all,with contempt She looked at him with contempt.,0,2023-01-28,2222-02-02,0
,2023-01-24,endeavour,"an attempt to do something, especially something new or difficult",There have been great advances in the field of scientific endeavour.,1,2023-01-28,2222-02-02,0
